Entity,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation,Number of parameters (Original Day),Training computation (petaFLOP) (Original Day),,,,Number of parameters,Training computation (petaFLOP),,,,
GShard (dense),2/17/2026,47650000,2300000000,Industry,6/30/2020,6/30/2020,,,,2300000000,47650000,,,,
Galactica,2/17/2026,324000000,1.20E+11,Industry,11/16/2022,11/16/2022,,,,1.20E+11,324000000,,,,
Gato,2/17/2026,4020000,1180000000,Industry,5/12/2022,5/12/2022,,,,1180000000,4020000,,,,
GenSLM,2/17/2026,1420000,25000000000,Academia and industry collaboration,10/11/2022,10/11/2022,,,,25000000000,1420000,,,,
Generative BST,2/17/2026,14490000,9431810048,Industry,3/5/2021,3/5/2021,,,,9431810048,14490000,,,,
German ELECTRA Large,2/17/2026,1428295.6,335000000,Other,10/21/2020,10/21/2020,,,,335000000,1428295.6,,,,
GoogLeNet / InceptionV1,2/17/2026,1510,6797700,Academia and industry collaboration,9/17/2014,9/17/2014,,,,6797700,1510,,,,
Gopher (280B),2/17/2026,631000000,2.80E+11,Industry,12/8/2021,12/8/2021,,,,2.80E+11,631000000,,,,
Grok 3,2/17/2026,3.50E+11,3.00E+12,Industry,2/17/2025,2/17/2025,,,,3.00E+12,3.50E+11,,,,
Grok 4,2/17/2026,5.00E+11,3.00E+12,Industry,7/9/2025,7/9/2025,,,,3.00E+12,5.00E+11,,,,
Grok-1,2/17/2026,2900000000,3.14E+11,Industry,11/4/2023,11/4/2023,,,,3.14E+11,2900000000,,,,
HR-ResNet101,2/17/2026,7077,44500000,Academia,12/13/2016,12/13/2016,,,,44500000,7077,,,,
Hanabi 4 player,2/17/2026,4300,764000,Academia and industry collaboration,2/1/2019,2/1/2019,,,,764000,4300,,,,
Handwritten digit recognition network,2/17/2026,0.00018144,2578,Industry,11/27/1989,11/27/1989,,,,2578,0.00018144,,,,
Hierarchical Scene Labeling (Stanford Background),2/17/2026,237.74689,51609600,Academia,8/1/2013,8/1/2013,,,,51609600,237.74689,,,,
High Performance CNN (NORB),2/17/2026,25.7985,4878300,Academia,7/16/2011,7/16/2011,,,,4878300,25.7985,,,,
HuBERT,2/17/2026,5540000,1000000000,Industry,7/27/2021,7/27/2021,,,,1000000000,5540000,,,,
Hunyuan-Large,2/17/2026,3492370000,3.89E+11,Industry,11/6/2024,11/6/2024,,,,3.89E+11,3492370000,,,,
Hunyuan-TurboS,2/17/2026,5400000000,5.60E+11,Industry,3/11/2025,3/11/2025,,,,5.60E+11,5400000000,,,,
Hybrid H3-2.7B,2/17/2026,6480000,2700000000,Academia,12/28/2022,12/28/2022,,,,2700000000,6480000,,,,
HyenaDNA,2/17/2026,1811000,6600000,Academia,6/27/2023,6/27/2023,,,,6600000,1811000,,,,
HyperCLOVA 204B,2/17/2026,200000000,2.04E+11,Industry,9/10/2021,9/10/2021,,,,2.04E+11,200000000,,,,
IMPALA,2/17/2026,168000,1600000,Industry,2/5/2018,2/5/2018,,,,1600000,168000,,,,
ISS,2/17/2026,3.4,11100000,Academia and industry collaboration,9/15/2017,9/15/2017,,,,11100000,3.4,,,,
Image generation,2/17/2026,0.47520003,784000,Academia,12/20/2013,12/20/2013,,,,784000,0.47520003,,,,
Imagen,2/17/2026,14600000,7762000000,Industry,5/23/2022,5/23/2022,,,,7762000000,14600000,,,,
Inception v3,2/17/2026,100000,23626728,Academia and industry collaboration,12/2/2015,12/2/2015,,,,23626728,100000,,,,
