K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
9.0,100.0,36365.07123829299,1.6684576235056738,36365.07123829299,1.6684576235056738,36363.40278066949
9.02,100.0,36365.059238293,1.656457623510505,36365.059238293,1.656457623510505,36363.40278066949
9.04,100.0,36365.047238292995,1.6444576235080604,36365.047238292995,1.6444576235080604,36363.40278066949
9.06,100.0,36365.03523829299,1.6324576235056156,36365.03523829299,1.6324576235056156,36363.40278066949
9.08,100.0,36365.023238293,1.6204576235104469,36365.023238293,1.6204576235104469,36363.40278066949
9.1,100.0,36365.011238292995,1.6084576235080021,36365.011238292995,1.6084576235080021,36363.40278066949
9.12,100.0,36364.99923829299,1.5964576235055574,36364.99923829299,1.5964576235055574,36363.40278066949
9.14,100.0,36364.987238293,1.5844576235103887,36364.987238293,1.5844576235103887,36363.40278066949
9.16,100.0,36364.975238292995,1.572457623507944,36364.975238292995,1.572457623507944,36363.40278066949
9.18,100.0,36364.96323829299,1.5604576235054992,36364.96323829299,1.5604576235054992,36363.40278066949
9.2,100.0,36364.951238293,1.5484576235103304,36364.951238293,1.5484576235103304,36363.40278066949
9.22,100.0,36364.939238292995,1.5364576235078857,36364.939238292995,1.5364576235078857,36363.40278066949
9.24,100.0,36364.92723829299,1.524457623505441,36364.92723829299,1.524457623505441,36363.40278066949
9.26,100.0,36364.915238293,1.5124576235102722,36364.915238293,1.5124576235102722,36363.40278066949
9.28,100.0,36364.903238292995,1.5004576235078275,36364.903238292995,1.5004576235078275,36363.40278066949
9.3,100.0,36364.89123829299,1.4884576235053828,36364.89123829299,1.4884576235053828,36363.40278066949
9.32,100.0,36364.879238293,1.476457623510214,36364.879238293,1.476457623510214,36363.40278066949
9.34,100.0,36364.867238292994,1.4644576235077693,36364.867238292994,1.4644576235077693,36363.40278066949
9.36,100.0,36364.85523829299,1.4524576235053246,36364.85523829299,1.4524576235053246,36363.40278066949
9.38,100.0,36364.843238293,1.4404576235101558,36364.843238293,1.4404576235101558,36363.40278066949
9.4,100.0,36364.831238292994,1.428457623507711,36364.831238292994,1.428457623507711,36363.40278066949
9.42,100.0,36364.81923829299,1.4164576235052664,36364.81923829299,1.4164576235052664,36363.40278066949
9.44,100.0,36364.807238293,1.4044576235100976,36364.807238293,1.4044576235100976,36363.40278066949
9.46,100.0,36364.795238292994,1.392457623507653,36364.795238292994,1.392457623507653,36363.40278066949
9.48,100.0,36364.78323829299,1.3804576235052082,36364.78323829299,1.3804576235052082,36363.40278066949
9.5,100.0,36364.771238293,1.3684576235100394,36364.771238293,1.3684576235100394,36363.40278066949
9.52,100.0,36364.759238292994,1.3564576235075947,36364.759238292994,1.3564576235075947,36363.40278066949
9.54,100.0,36364.74723829299,1.34445762350515,36364.74723829299,1.34445762350515,36363.40278066949
9.56,100.0,36364.735238293,1.3324576235099812,36364.735238293,1.3324576235099812,36363.40278066949
9.58,100.0,36364.723238292994,1.3204576235075365,36364.723238292994,1.3204576235075365,36363.40278066949
9.6,100.0,36364.71123829299,1.3084576235050918,36364.71123829299,1.3084576235050918,36363.40278066949
9.62,100.0,36364.699238293,1.296457623509923,36364.699238293,1.296457623509923,36363.40278066949
9.64,100.0,36364.687238292994,1.2844576235074783,36364.687238292994,1.2844576235074783,36363.40278066949
9.66,100.0,36364.67523829299,1.2724576235050336,36364.67523829299,1.2724576235050336,36363.40278066949
9.68,100.0,36364.663238293,1.2604576235098648,36364.663238293,1.2604576235098648,36363.40278066949
9.7,100.0,36364.651238292994,1.24845762350742,36364.651238292994,1.24845762350742,36363.40278066949
9.72,100.0,36364.63923829299,1.2364576235049753,36364.63923829299,1.2364576235049753,36363.40278066949
9.74,100.0,36364.627238293,1.2244576235098066,36364.627238293,1.2244576235098066,36363.40278066949
9.76,100.0,36364.615238292994,1.2124576235073619,36364.615238292994,1.2124576235073619,36363.40278066949
9.78,100.0,36364.60323829299,1.2004576235049171,36364.60323829299,1.2004576235049171,36363.40278066949
9.8,100.0,36364.591238293,1.1884576235097484,36364.591238293,1.1884576235097484,36363.40278066949
9.82,100.0,36364.579238292994,1.1764576235073037,36364.579238292994,1.1764576235073037,36363.40278066949
9.84,100.0,36364.56723829299,1.164457623504859,36364.56723829299,1.164457623504859,36363.40278066949
9.86,100.0,36364.555238293,1.1524576235096902,36364.555238293,1.1524576235096902,36363.40278066949
9.88,100.0,36364.543238292994,1.1404576235072454,36364.543238292994,1.1404576235072454,36363.40278066949
9.9,100.0,36364.53123829299,1.1284576235048007,36364.53123829299,1.1284576235048007,36363.40278066949
9.92,100.0,36364.519238292996,1.116457623509632,36364.519238292996,1.116457623509632,36363.40278066949
9.94,100.0,36364.507238292994,1.1044576235071872,36364.507238292994,1.1044576235071872,36363.40278066949
9.96,100.0,36364.49523829299,1.0924576235047425,36364.49523829299,1.0924576235047425,36363.40278066949
9.98,100.0,36364.483238292996,1.0804576235095738,36364.483238292996,1.0804576235095738,36363.40278066949
10.0,100.0,36364.471238292994,1.068457623507129,36364.471238292994,1.068457623507129,36363.40278066949
10.02,100.0,36364.45923829299,1.0564576235046843,36364.45923829299,1.0564576235046843,36363.40278066949
10.04,100.0,36364.447238292996,1.0444576235095155,36364.447238292996,1.0444576235095155,36363.40278066949
10.06,100.0,36364.435238292994,1.0324576235070708,36364.435238292994,1.0324576235070708,36363.40278066949
10.08,100.0,36364.42323829299,1.020457623504626,36364.42323829299,1.020457623504626,36363.40278066949
10.1,100.0,36364.411238292996,1.0084576235094573,36364.411238292996,1.0084576235094573,36363.40278066949
10.12,100.0,36364.399238292994,0.9964576235070126,36364.399238292994,0.9964576235070126,36363.40278066949
10.14,100.0,36364.38723829299,0.9844576235045679,36364.38723829299,0.9844576235045679,36363.40278066949
10.16,100.0,36364.375238292996,0.9724576235093991,36364.375238292996,0.9724576235093991,36363.40278066949
10.18,100.0,36364.36323829299,0.9604576235069544,36364.36323829299,0.9604576235069544,36363.40278066949
10.2,100.0,36364.35123829299,0.9484576235045097,36364.35123829299,0.9484576235045097,36363.40278066949
10.22,100.0,36364.339238292996,0.9364576235093409,36364.339238292996,0.9364576235093409,36363.40278066949
