K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
2.98,100.0,36377.65627108327,0.39209793487680145,36377.65627108327,0.39209793487680145,36377.2641731484
3.0,100.0,36377.64427108327,0.3800979348743567,36377.64427108327,0.3800979348743567,36377.2641731484
3.02,100.0,36377.632271083276,0.36809793487918796,36377.632271083276,0.36809793487918796,36377.2641731484
3.04,100.0,36377.62027108327,0.35609793487674324,36377.62027108327,0.35609793487674324,36377.2641731484
3.06,100.0,36377.60827108327,0.3440979348742985,36377.60827108327,0.3440979348742985,36377.2641731484
3.08,100.0,36377.596271083275,0.33209793487912975,36377.596271083275,0.33209793487912975,36377.2641731484
3.1,100.0,36377.58427108327,0.32009793487668503,36377.58427108327,0.32009793487668503,36377.2641731484
3.12,100.0,36377.57227108327,0.3080979348742403,36377.57227108327,0.3080979348742403,36377.2641731484
3.14,100.0,36377.560271083275,0.29609793487907154,36377.560271083275,0.29609793487907154,36377.2641731484
3.16,100.0,36377.54827108327,0.2840979348766268,36377.54827108327,0.2840979348766268,36377.2641731484
3.18,100.0,36377.53627108327,0.2720979348741821,36377.53627108327,0.2720979348741821,36377.2641731484
3.2,100.0,36377.524271083275,0.26009793487901334,36377.524271083275,0.26009793487901334,36377.2641731484
3.22,100.0,36377.51227108327,0.24809793487656862,36377.51227108327,0.24809793487656862,36377.2641731484
3.24,100.0,36377.50027108327,0.2360979348741239,36377.50027108327,0.2360979348741239,36377.2641731484
3.26,100.0,36377.488271083275,0.22409793487895513,36377.488271083275,0.22409793487895513,36377.2641731484
3.28,100.0,36377.47627108327,0.2120979348765104,36377.47627108327,0.2120979348765104,36377.2641731484
3.3,100.0,36377.46427108327,0.20009793487406569,36377.46427108327,0.20009793487406569,36377.2641731484
3.32,100.0,36377.452271083275,0.18809793487889692,36377.452271083275,0.18809793487889692,36377.2641731484
3.34,100.0,36377.44027108327,0.1760979348764522,36377.44027108327,0.1760979348764522,36377.2641731484
3.36,100.0,36377.42827108327,0.16409793487400748,36377.42827108327,0.16409793487400748,36377.2641731484
3.38,100.0,36377.416271083275,0.15209793487883871,36377.416271083275,0.15209793487883871,36377.2641731484
3.4,100.0,36377.40427108327,0.140097934876394,36377.40427108327,0.140097934876394,36377.2641731484
3.42,100.0,36377.39227108327,0.12809793487394927,36377.39227108327,0.12809793487394927,36377.2641731484
3.44,100.0,36377.380271083275,0.1160979348787805,36377.380271083275,0.1160979348787805,36377.2641731484
3.46,100.0,36377.36827108327,0.10409793487633578,36377.36827108327,0.10409793487633578,36377.2641731484
3.48,100.0,36377.35627108327,0.09209793487389106,36377.35627108327,0.09209793487389106,36377.2641731484
3.5,100.0,36377.344271083275,0.0800979348787223,36377.344271083275,0.0800979348787223,36377.2641731484
3.52,100.0,36377.33227108327,0.06809793487627758,36377.33227108327,0.06809793487627758,36377.2641731484
3.54,100.0,36377.32027108327,0.056097934873832855,36377.32027108327,0.056097934873832855,36377.2641731484
3.56,100.0,36377.308271083275,0.04409793487866409,36377.308271083275,0.04409793487866409,36377.2641731484
3.58,100.0,36377.29627108327,0.03209793487621937,36377.29627108327,0.03209793487621937,36377.2641731484
3.6,100.0,36377.28427108327,0.020097934873774648,36377.28427108327,0.020097934873774648,36377.2641731484
3.62,70.0,36377.27427514207,0.010101993670105003,36377.272271083275,0.008097934878605884,36377.2641731484
3.64,40.0,36377.26732962667,0.003156478276650887,36377.26027108327,-0.003902065123838838,36377.2641731484
3.66,10.0,36377.26428755978,0.00011441138485679403,36377.24827108327,-0.01590206512628356,36377.2641731484
3.68,0.0,36377.2641731484,0.0,36377.236271083275,-0.027902065121452324,36377.2641731484
3.7,0.0,36377.2641731484,0.0,36377.22427108327,-0.039902065123897046,36377.2641731484
3.72,0.0,36377.2641731484,0.0,36377.21227108327,-0.05190206512634177,36377.2641731484
3.74,0.0,36377.2641731484,0.0,36377.200271083275,-0.06390206512151053,36377.2641731484
3.76,0.0,36377.2641731484,0.0,36377.18827108327,-0.07590206512395525,36377.2641731484
3.78,0.0,36377.2641731484,0.0,36377.17627108328,-0.08790206511912402,36377.2641731484
3.8,0.0,36377.2641731484,0.0,36377.164271083275,-0.09990206512156874,36377.2641731484
3.82,0.0,36377.2641731484,0.0,36377.15227108327,-0.11190206512401346,36377.2641731484
3.84,0.0,36377.2641731484,0.0,36377.14027108328,-0.12390206511918223,36377.2641731484
3.86,0.0,36377.2641731484,0.0,36377.128271083275,-0.13590206512162695,36377.2641731484
3.88,0.0,36377.2641731484,0.0,36377.11627108327,-0.14790206512407167,36377.2641731484
3.9,0.0,36377.2641731484,0.0,36377.10427108328,-0.15990206511924043,36377.2641731484
3.92,0.0,36377.2641731484,0.0,36377.092271083275,-0.17190206512168515,36377.2641731484
3.94,0.0,36377.2641731484,0.0,36377.08027108327,-0.18390206512412988,36377.2641731484
3.96,0.0,36377.2641731484,0.0,36377.06827108328,-0.19590206511929864,36377.2641731484
3.98,0.0,36377.2641731484,0.0,36377.056271083275,-0.20790206512174336,36377.2641731484
4.0,0.0,36377.2641731484,0.0,36377.04427108327,-0.21990206512418808,36377.2641731484
4.02,0.0,36377.2641731484,0.0,36377.03227108328,-0.23190206511935685,36377.2641731484
4.04,0.0,36377.2641731484,0.0,36377.020271083275,-0.24390206512180157,36377.2641731484
4.06,0.0,36377.2641731484,0.0,36377.00827108327,-0.2559020651242463,36377.2641731484
4.08,0.0,36377.2641731484,0.0,36376.99627108328,-0.26790206511941506,36377.2641731484
4.1,0.0,36377.2641731484,0.0,36376.984271083275,-0.2799020651218598,36377.2641731484
4.12,0.0,36377.2641731484,0.0,36376.97227108327,-0.2919020651243045,36377.2641731484
4.14,0.0,36377.2641731484,0.0,36376.96027108328,-0.30390206511947326,36377.2641731484
4.16,0.0,36377.2641731484,0.0,36376.948271083274,-0.315902065121918,36377.2641731484
4.18,0.0,36377.2641731484,0.0,36376.93627108327,-0.3279020651243627,36377.2641731484
4.2,0.0,36377.2641731484,0.0,36376.92427108328,-0.33990206511953147,36377.2641731484
4.22,0.0,36377.2641731484,0.0,36376.912271083274,-0.3519020651219762,36377.2641731484
4.24,0.0,36377.2641731484,0.0,36376.90027108327,-0.3639020651244209,36377.2641731484
4.26,0.0,36377.2641731484,0.0,36376.88827108328,-0.3759020651195897,36377.2641731484
4.28,0.0,36377.2641731484,0.0,36376.876271083274,-0.3879020651220344,36377.2641731484
4.3,0.0,36377.2641731484,0.0,36376.86427108327,-0.3999020651244791,36377.2641731484
4.32,0.0,36377.2641731484,0.0,36376.85227108328,-0.4119020651196479,36377.2641731484
4.34,0.0,36377.2641731484,0.0,36376.840271083274,-0.4239020651220926,36377.2641731484
4.36,0.0,36377.2641731484,0.0,36376.82827108327,-0.43590206512453733,36377.2641731484
4.38,0.0,36377.2641731484,0.0,36376.81627108328,-0.4479020651197061,36377.2641731484
4.4,0.0,36377.2641731484,0.0,36376.804271083274,-0.4599020651221508,36377.2641731484
4.42,0.0,36377.2641731484,0.0,36376.79227108327,-0.47190206512459554,36377.2641731484
4.44,0.0,36377.2641731484,0.0,36376.78027108328,-0.4839020651197643,36377.2641731484
4.46,0.0,36377.2641731484,0.0,36376.768271083274,-0.495902065122209,36377.2641731484
4.48,0.0,36377.2641731484,0.0,36376.75627108327,-0.5079020651246537,36377.2641731484
4.5,0.0,36377.2641731484,0.0,36376.74427108328,-0.5199020651198225,36377.2641731484
4.52,0.0,36377.2641731484,0.0,36376.732271083274,-0.5319020651222672,36377.2641731484
4.54,0.0,36377.2641731484,0.0,36376.72027108327,-0.543902065124712,36377.2641731484
4.56,0.0,36377.2641731484,0.0,36376.70827108328,-0.5559020651198807,36377.2641731484
4.58,0.0,36377.2641731484,0.0,36376.696271083274,-0.5679020651223254,36377.2641731484
4.6,0.0,36377.2641731484,0.0,36376.68427108327,-0.5799020651247702,36377.2641731484
4.62,0.0,36377.2641731484,0.0,36376.67227108328,-0.5919020651199389,36377.2641731484
4.64,0.0,36377.2641731484,0.0,36376.660271083274,-0.6039020651223836,36377.2641731484
4.66,0.0,36377.2641731484,0.0,36376.64827108327,-0.6159020651248284,36377.2641731484
4.68,0.0,36377.2641731484,0.0,36376.63627108328,-0.6279020651199971,36377.2641731484
4.7,0.0,36377.2641731484,0.0,36376.624271083274,-0.6399020651224419,36377.2641731484
4.72,0.0,36377.2641731484,0.0,36376.61227108327,-0.6519020651248866,36377.2641731484
4.74,0.0,36377.2641731484,0.0,36376.600271083276,-0.6639020651200553,36377.2641731484
4.76,0.0,36377.2641731484,0.0,36376.588271083274,-0.6759020651225001,36377.2641731484
4.78,0.0,36377.2641731484,0.0,36376.57627108327,-0.6879020651249448,36377.2641731484
4.8,0.0,36377.2641731484,0.0,36376.564271083276,-0.6999020651201135,36377.2641731484
4.82,0.0,36377.2641731484,0.0,36376.552271083274,-0.7119020651225583,36377.2641731484
4.84,0.0,36377.2641731484,0.0,36376.54027108327,-0.723902065125003,36377.2641731484
4.86,0.0,36377.2641731484,0.0,36376.528271083276,-0.7359020651201718,36377.2641731484
4.88,0.0,36377.2641731484,0.0,36376.516271083274,-0.7479020651226165,36377.2641731484
4.9,0.0,36377.2641731484,0.0,36376.50427108327,-0.7599020651250612,36377.2641731484
4.92,0.0,36377.2641731484,0.0,36376.492271083276,-0.77190206512023,36377.2641731484
4.94,0.0,36377.2641731484,0.0,36376.480271083274,-0.7839020651226747,36377.2641731484
4.96,0.0,36377.2641731484,0.0,36376.46827108327,-0.7959020651251194,36377.2641731484
4.98,0.0,36377.2641731484,0.0,36376.456271083276,-0.8079020651202882,36377.2641731484
5.0,0.0,36377.2641731484,0.0,36376.44427108327,-0.8199020651227329,36377.2641731484
5.02,0.0,36377.2641731484,0.0,36376.43227108327,-0.8319020651251776,36377.2641731484
5.04,0.0,36377.2641731484,0.0,36376.420271083276,-0.8439020651203464,36377.2641731484
5.06,0.0,36377.2641731484,0.0,36376.40827108327,-0.8559020651227911,36377.2641731484
5.08,0.0,36377.2641731484,0.0,36376.39627108327,-0.8679020651252358,36377.2641731484
5.1,0.0,36377.2641731484,0.0,36376.384271083276,-0.8799020651204046,36377.2641731484
5.12,0.0,36377.2641731484,0.0,36376.37227108327,-0.8919020651228493,36377.2641731484
5.14,0.0,36377.2641731484,0.0,36376.36027108327,-0.903902065125294,36377.2641731484
5.16,0.0,36377.2641731484,0.0,36376.348271083276,-0.9159020651204628,36377.2641731484
5.18,0.0,36377.2641731484,0.0,36376.33627108327,-0.9279020651229075,36377.2641731484
5.2,0.0,36377.2641731484,0.0,36376.32427108327,-0.9399020651253522,36377.2641731484
5.22,0.0,36377.2641731484,0.0,36376.312271083276,-0.951902065120521,36377.2641731484
5.24,0.0,36377.2641731484,0.0,36376.30027108327,-0.9639020651229657,36377.2641731484
5.26,0.0,36377.2641731484,0.0,36376.28827108327,-0.9759020651254104,36377.2641731484
5.28,0.0,36377.2641731484,0.0,36376.276271083276,-0.9879020651205792,36377.2641731484
5.3,0.0,36377.2641731484,0.0,36376.26427108327,-0.9999020651230239,36377.2641731484
5.32,0.0,36377.2641731484,0.0,36376.25227108327,-1.0119020651254687,36377.2641731484
5.34,0.0,36377.2641731484,0.0,36376.240271083276,-1.0239020651206374,36377.2641731484
5.36,0.0,36377.2641731484,0.0,36376.22827108327,-1.0359020651230821,36377.2641731484
5.38,0.0,36377.2641731484,0.0,36376.21627108327,-1.0479020651255269,36377.2641731484
5.4,0.0,36377.2641731484,0.0,36376.204271083276,-1.0599020651206956,36377.2641731484
5.42,0.0,36377.2641731484,0.0,36376.19227108327,-1.0719020651231403,36377.2641731484
5.44,0.0,36377.2641731484,0.0,36376.18027108327,-1.083902065125585,36377.2641731484
5.46,0.0,36377.2641731484,0.0,36376.168271083276,-1.0959020651207538,36377.2641731484
5.48,0.0,36377.2641731484,0.0,36376.15627108327,-1.1079020651231986,36377.2641731484
5.5,0.0,36377.2641731484,0.0,36376.14427108327,-1.1199020651256433,36377.2641731484
5.52,0.0,36377.2641731484,0.0,36376.132271083276,-1.131902065120812,36377.2641731484
5.54,0.0,36377.2641731484,0.0,36376.12027108327,-1.1439020651232568,36377.2641731484
5.56,0.0,36377.2641731484,0.0,36376.10827108327,-1.1559020651257015,36377.2641731484
5.58,0.0,36377.2641731484,0.0,36376.096271083275,-1.1679020651208702,36377.2641731484
5.6,0.0,36377.2641731484,0.0,36376.08427108327,-1.179902065123315,36377.2641731484
